crossbar_size,cores_per_tile,mvmus_per_core,variant,latency_cycles,energy_pj,speedup_vs_fixed_adc,energy_efficiency_vs_fixed_adc
16,2,2,puma_fixed_adc,17932.0,865972.8,1.0,1.0
16,2,2,sparse_puma,17572.0,315018.0,1.0204871386296381,2.748962916404777
16,2,2,samba,8911.2,318168.0,2.0122991291857435,2.721747001584069
16,2,4,puma_fixed_adc,12388.0,859636.8,1.0,1.0
16,2,4,sparse_puma,12028.0,308682.0,1.0299301629531095,2.7848620910840283
16,2,4,samba,8335.2,310032.0,1.48622708513293,2.7727357176033443
16,4,2,puma_fixed_adc,15628.0,864172.8,1.0,1.0
16,4,2,sparse_puma,15268.0,313218.0,1.0235787267487555,2.7590138497787486
16,4,2,samba,8911.2,318168.0,1.7537480922883562,2.7160896130346233
16,4,4,puma_fixed_adc,11236.0,858736.8,1.0,1.0
16,4,4,sparse_puma,10876.0,307782.0,1.0331004045605001,2.790081291303585
16,4,4,samba,8335.2,310032.0,1.3480180439581533,2.7698327914537857
32,2,2,puma_fixed_adc,19012.0,498376.80000000016,1.0,1.0
32,2,2,sparse_puma,18292.0,198748.80000000002,1.0393614694948612,2.5075713664686283
32,2,2,samba,14491.2,200926.80000000002,1.3119686430385336,2.4803898733270033
32,2,4,puma_fixed_adc,17716.0,496918.80000000016,1.0,1.0
32,2,4,sparse_puma,16996.0,197290.80000000002,1.042362908919746,2.518712479243838
32,2,4,samba,14527.2,197614.8,1.2195054793766176,2.5145829158544815
32,4,2,puma_fixed_adc,18436.0,497926.80000000016,1.0,1.0
32,4,2,sparse_puma,17716.0,198298.80000000002,1.040641228268232,2.5109925022239175
32,4,2,samba,14311.2,200476.80000000002,1.28822181228688,2.4837128286165786
32,4,4,puma_fixed_adc,17140.0,496468.80000000016,1.0,1.0
32,4,4,sparse_puma,16420.0,196840.80000000002,1.0438489646772229,2.5221844251801464
32,4,4,samba,14203.2,197164.8,1.2067703052833163,2.518039731229916
