layer,variant,windows,blocks,cores,tiles,latency_cycles,energy_pj,speedup_vs_fixed_adc,energy_efficiency_vs_fixed_adc,avg_core_latency_cycles,bottleneck_core_cycles,movement_cycles,utilization,rearrange_vectors,column_swaps,row_swaps,split_mvmus
resnet50_stem_7x7,puma_fixed_adc,12544,49,13,4,111641568.0,34279595929.599995,1.0,1.0,8196.0,8196.0,672.0,1.0,0,0,0,0
resnet50_s2_b1_conv1_1x1,puma_fixed_adc,3136,1,1,1,25802976.0,174843289.59999996,1.0,1.0,8196.0,8196.0,0.0,1.0,0,0,0,0
resnet50_s2_b1_conv2_3x3,puma_fixed_adc,3136,9,3,1,26053856.0,1573940838.3999996,1.0,1.0,8196.0,8196.0,80.0,1.0,0,0,0,0
resnet50_s2_b1_conv3_1x1,puma_fixed_adc,3136,4,1,1,25802976.0,699373158.3999999,1.0,1.0,8196.0,8196.0,0.0,1.0,0,0,0,0
resnet50_s2_b1_projection_1x1,puma_fixed_adc,3136,4,1,1,25802976.0,699373158.3999999,1.0,1.0,8196.0,8196.0,0.0,1.0,0,0,0,0
resnet50_s2_b2_conv1_1x1,puma_fixed_adc,3136,4,1,1,25802976.0,699373158.3999999,1.0,1.0,8196.0,8196.0,0.0,1.0,0,0,0,0
resnet50_s2_b2_conv2_3x3,puma_fixed_adc,3136,9,3,1,26053856.0,1573940838.3999996,1.0,1.0,8196.0,8196.0,80.0,1.0,0,0,0,0
resnet50_s2_b2_conv3_1x1,puma_fixed_adc,3136,4,1,1,25802976.0,699373158.3999999,1.0,1.0,8196.0,8196.0,0.0,1.0,0,0,0,0
resnet50_s2_b3_conv1_1x1,puma_fixed_adc,3136,4,1,1,25802976.0,699373158.3999999,1.0,1.0,8196.0,8196.0,0.0,1.0,0,0,0,0
resnet50_s2_b3_conv2_3x3,puma_fixed_adc,3136,9,3,1,26053856.0,1573940838.3999996,1.0,1.0,8196.0,8196.0,80.0,1.0,0,0,0,0
resnet50_s2_b3_conv3_1x1,puma_fixed_adc,3136,4,1,1,25802976.0,699373158.3999999,1.0,1.0,8196.0,8196.0,0.0,1.0,0,0,0,0
resnet50_s3_b1_conv1_1x1,puma_fixed_adc,3136,8,2,1,25928416.0,1398921932.7999997,1.0,1.0,8196.0,8196.0,40.0,1.0,0,0,0,0
resnet50_stem_7x7,sparse_puma,12544,49,13,4,38183904.0,1183897702.3999999,2.923786106313278,28.954863127201214,1876.0,2532.0,480.0,0.740916271721959,0,0,0,0
resnet50_s2_b1_conv1_1x1,sparse_puma,3136,1,1,1,23394528.0,39488512.000000015,1.1029492024801697,4.4277001270648,7428.0,7428.0,0.0,1.0,0,0,0,0
resnet50_s2_b1_conv2_3x3,sparse_puma,3136,9,3,1,23695584.0,295142758.40000004,1.09952369184064,5.332811982013378,7006.666666666667,7444.0,80.0,0.9412502238939638,0,0,0,0
resnet50_s2_b1_conv3_1x1,sparse_puma,3136,4,1,1,23545056.0,150703616.00000003,1.09589783944451,4.640719160978856,7476.0,7476.0,0.0,1.0,0,0,0,0
resnet50_s2_b1_projection_1x1,sparse_puma,3136,4,1,1,23645408.0,150959513.60000002,1.0912468078368536,4.632852489530013,7508.0,7508.0,0.0,1.0,0,0,0,0
resnet50_s2_b2_conv1_1x1,sparse_puma,3136,4,1,1,23444704.0,148016691.20000002,1.1005886873214523,4.724961440024406,7444.0,7444.0,0.0,1.0,0,0,0,0
resnet50_s2_b2_conv2_3x3,sparse_puma,3136,9,3,1,23996640.0,295185408.0,1.085729335440295,5.3320414754377,7022.666666666667,7540.0,80.0,0.9313881520778072,0,0,0,0
resnet50_s2_b2_conv3_1x1,sparse_puma,3136,4,1,1,23394528.0,150234470.40000004,1.1029492024801697,4.655210994773139,7428.0,7428.0,0.0,1.0,0,0,0,0
resnet50_s2_b3_conv1_1x1,sparse_puma,3136,4,1,1,23595232.0,149040281.60000002,1.0935673783584752,4.692510983554125,7492.0,7492.0,0.0,1.0,0,0,0,0
