layer,variant,windows,blocks,cores,tiles,latency_cycles,energy_pj,speedup_vs_fixed_adc,energy_efficiency_vs_fixed_adc,avg_core_latency_cycles,bottleneck_core_cycles,movement_cycles,utilization,rearrange_vectors,column_swaps,row_swaps,split_mvmus
vgg19_conv01_3x64,puma_fixed_adc,1024,9,3,1,8507360.0,513939865.59999985,1.0,1.0,8196.0,8196.0,80.0,1.0,0,0,0,0
vgg19_conv02_64x64,puma_fixed_adc,1024,9,3,1,8507360.0,513939865.59999985,1.0,1.0,8196.0,8196.0,80.0,1.0,0,0,0,0
vgg19_conv03_64x128,puma_fixed_adc,256,18,5,2,2163680.0,256982732.79999992,1.0,1.0,8196.0,8196.0,224.0,1.0,0,0,0,0
vgg19_conv04_128x128,puma_fixed_adc,256,36,9,3,2221024.0,513965465.59999985,1.0,1.0,8196.0,8196.0,448.0,1.0,0,0,0,0
vgg19_conv05_128x256,puma_fixed_adc,64,72,18,5,586464.0,256986316.79999992,1.0,1.0,8196.0,8196.0,936.0,1.0,0,0,0,0
vgg19_conv06_256x256,puma_fixed_adc,64,144,36,9,648928.0,513976217.59999985,1.0,1.0,8196.0,8196.0,1912.0,1.0,0,0,0,0
vgg19_conv07_256x256,puma_fixed_adc,64,144,36,9,648928.0,513976217.59999985,1.0,1.0,8196.0,8196.0,1912.0,1.0,0,0,0,0
vgg19_conv08_256x256,puma_fixed_adc,64,144,36,9,648928.0,513976217.59999985,1.0,1.0,8196.0,8196.0,1912.0,1.0,0,0,0,0
vgg19_conv01_3x64,sparse_puma,1024,9,3,1,2215904.0,20265369.599999998,3.8392276921743904,25.360498019241646,1710.6666666666667,2052.0,80.0,0.8336582196231319,0,0,0,0
vgg19_conv02_64x64,sparse_puma,1024,9,3,1,7819232.0,95830016.0,1.0880045508305676,5.363036416481449,6996.0,7524.0,80.0,0.9298245614035088,0,0,0,0
vgg19_conv03_64x128,sparse_puma,256,18,5,2,1946592.0,46747545.6,1.1115220857786325,5.497245459663232,6983.2,7348.0,224.0,0.9503538377789875,0,0,0,0
