layer,variant,op,start_cycle,end_cycle,core_id,tile_id,detail
vgg19_conv01_3x64,puma_fixed_adc,MVM,0.0,8196.0,0,0,4 mapped MVMU block(s)
vgg19_conv01_3x64,puma_fixed_adc,MVM,0.0,8196.0,1,0,4 mapped MVMU block(s)
vgg19_conv01_3x64,puma_fixed_adc,MVM,0.0,8196.0,2,0,1 mapped MVMU block(s)
vgg19_conv01_3x64,puma_fixed_adc,CHAIN_REDUCE,8196.0,8276.0,,,"3 core(s), 1 tile(s)"
vgg19_conv02_64x64,puma_fixed_adc,MVM,0.0,8196.0,0,0,4 mapped MVMU block(s)
vgg19_conv02_64x64,puma_fixed_adc,MVM,0.0,8196.0,1,0,4 mapped MVMU block(s)
vgg19_conv02_64x64,puma_fixed_adc,MVM,0.0,8196.0,2,0,1 mapped MVMU block(s)
vgg19_conv02_64x64,puma_fixed_adc,CHAIN_REDUCE,8196.0,8276.0,,,"3 core(s), 1 tile(s)"
vgg19_conv03_64x128,puma_fixed_adc,MVM,0.0,8196.0,0,0,4 mapped MVMU block(s)
vgg19_conv03_64x128,puma_fixed_adc,MVM,0.0,8196.0,1,0,4 mapped MVMU block(s)
vgg19_conv03_64x128,puma_fixed_adc,MVM,0.0,8196.0,2,0,4 mapped MVMU block(s)
vgg19_conv03_64x128,puma_fixed_adc,MVM,0.0,8196.0,3,0,4 mapped MVMU block(s)
vgg19_conv03_64x128,puma_fixed_adc,MVM,0.0,8196.0,4,1,2 mapped MVMU block(s)
vgg19_conv03_64x128,puma_fixed_adc,CHAIN_REDUCE,8196.0,8420.0,,,"5 core(s), 2 tile(s)"
vgg19_conv04_128x128,puma_fixed_adc,MVM,0.0,8196.0,0,0,4 mapped MVMU block(s)
vgg19_conv04_128x128,puma_fixed_adc,MVM,0.0,8196.0,1,0,4 mapped MVMU block(s)
vgg19_conv04_128x128,puma_fixed_adc,MVM,0.0,8196.0,2,0,4 mapped MVMU block(s)
vgg19_conv04_128x128,puma_fixed_adc,MVM,0.0,8196.0,3,0,4 mapped MVMU block(s)
vgg19_conv04_128x128,puma_fixed_adc,MVM,0.0,8196.0,4,1,4 mapped MVMU block(s)
vgg19_conv04_128x128,puma_fixed_adc,MVM,0.0,8196.0,5,1,4 mapped MVMU block(s)
vgg19_conv04_128x128,puma_fixed_adc,MVM,0.0,8196.0,6,1,4 mapped MVMU block(s)
vgg19_conv04_128x128,puma_fixed_adc,MVM,0.0,8196.0,7,1,4 mapped MVMU block(s)
vgg19_conv04_128x128,puma_fixed_adc,MVM,0.0,8196.0,8,2,4 mapped MVMU block(s)
vgg19_conv04_128x128,puma_fixed_adc,CHAIN_REDUCE,8196.0,8644.0,,,"9 core(s), 3 tile(s)"
vgg19_conv05_128x256,puma_fixed_adc,MVM,0.0,8196.0,0,0,4 mapped MVMU block(s)
vgg19_conv05_128x256,puma_fixed_adc,MVM,0.0,8196.0,1,0,4 mapped MVMU block(s)
vgg19_conv05_128x256,puma_fixed_adc,MVM,0.0,8196.0,2,0,4 mapped MVMU block(s)
vgg19_conv05_128x256,puma_fixed_adc,MVM,0.0,8196.0,3,0,4 mapped MVMU block(s)
vgg19_conv05_128x256,puma_fixed_adc,MVM,0.0,8196.0,4,1,4 mapped MVMU block(s)
vgg19_conv05_128x256,puma_fixed_adc,MVM,0.0,8196.0,5,1,4 mapped MVMU block(s)
vgg19_conv05_128x256,puma_fixed_adc,MVM,0.0,8196.0,6,1,4 mapped MVMU block(s)
vgg19_conv05_128x256,puma_fixed_adc,MVM,0.0,8196.0,7,1,4 mapped MVMU block(s)
vgg19_conv05_128x256,puma_fixed_adc,MVM,0.0,8196.0,8,2,4 mapped MVMU block(s)
vgg19_conv05_128x256,puma_fixed_adc,MVM,0.0,8196.0,9,2,4 mapped MVMU block(s)
vgg19_conv05_128x256,puma_fixed_adc,MVM,0.0,8196.0,10,2,4 mapped MVMU block(s)
vgg19_conv05_128x256,puma_fixed_adc,MVM,0.0,8196.0,11,2,4 mapped MVMU block(s)
vgg19_conv05_128x256,puma_fixed_adc,MVM,0.0,8196.0,12,3,4 mapped MVMU block(s)
vgg19_conv05_128x256,puma_fixed_adc,MVM,0.0,8196.0,13,3,4 mapped MVMU block(s)
