experiment,variant,latency_cycles,energy_pj,speedup_vs_fixed_adc,energy_efficiency_vs_fixed_adc,layer_count,report_path
microbench (paper_style_microbench),puma_fixed_adc,521112.0,325249819.1999999,1.0,1.0,3,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/microbench/index.html
microbench (paper_style_microbench),sparse_puma,475464.0,59909839.2,1.096007268689112,5.428988352217108,3,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/microbench/index.html
microbench (paper_style_microbench),samba,404114.4,59961643.2,1.2895160380327946,5.424297965203194,3,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/microbench/index.html
vgg19_cifar100_ablation (vgg19_cifar100_75pct_sparse),puma_fixed_adc,23932672.0,3597742899.199999,1.0,1.0,8,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/vgg19_cifar100_ablation/index.html
vgg19_cifar100_ablation (vgg19_cifar100_75pct_sparse),sparse_puma,16358144.0,585473689.6,1.4630432401133038,6.145012086978671,8,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/vgg19_cifar100_ablation/index.html
vgg19_cifar100_ablation (vgg19_cifar100_75pct_sparse),col_exchange,16840960.0,586365337.6,1.421099034734362,6.135667762909727,8,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/vgg19_cifar100_ablation/index.html
vgg19_cifar100_ablation (vgg19_cifar100_75pct_sparse),row_exchange,16413440.0,586558464.0,1.4581143258207907,6.133647573108755,8,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/vgg19_cifar100_ablation/index.html
vgg19_cifar100_ablation (vgg19_cifar100_75pct_sparse),split_mvmu,15636736.0,585776793.6,1.5305414122231136,6.141832415533914,8,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/vgg19_cifar100_ablation/index.html
vgg19_cifar100_ablation (vgg19_cifar100_75pct_sparse),load_balance_all,16130304.0,587376844.8000001,1.4837086765382723,6.125101680548914,8,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/vgg19_cifar100_ablation/index.html
vgg19_cifar100_ablation (vgg19_cifar100_75pct_sparse),data_movement,15549011.199999997,585700889.6,1.5391764590149632,6.1426283672832565,8,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/vgg19_cifar100_ablation/index.html
vgg19_cifar100_ablation (vgg19_cifar100_75pct_sparse),samba_full,14916179.199999997,585861657.6,1.6044773717923693,6.14094275078226,8,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/vgg19_cifar100_ablation/index.html
resnet50_imagenet_profile (resnet50_imagenet_75pct_sparse),puma_fixed_adc,396352384.0,44771422617.60001,1.0,1.0,12,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/resnet50_imagenet_profile/index.html
resnet50_imagenet_profile (resnet50_imagenet_75pct_sparse),sparse_puma,297706368.0,3306600908.8000007,1.3313533958400245,13.540014006059177,12,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/resnet50_imagenet_profile/index.html
resnet50_imagenet_profile (resnet50_imagenet_75pct_sparse),samba,280082403.2,3316505651.2000003,1.4151277605147312,13.49957676128202,12,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/resnet50_imagenet_profile/index.html
full_resnet50_imagenet_75 (resnet50_imagenet_75pct_sparse),puma_fixed_adc,524069964.0,88319369781.99995,1.0,1.0,53,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/full_resnet50_imagenet_75/index.html
full_resnet50_imagenet_75 (resnet50_imagenet_75pct_sparse),sparse_puma,417330324.0,11983397762.000002,1.2557677548492738,7.370144222539739,53,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/full_resnet50_imagenet_75/index.html
full_resnet50_imagenet_75 (resnet50_imagenet_75pct_sparse),samba,387806217.5999997,11998902361.6,1.3513707109785142,7.360620756832541,53,/Users/hanumanashikakshintala/Documents/New project/samba_imc_accelerator/artifacts/final_suite/runs/full_resnet50_imagenet_75/index.html
