layer,variant,windows,blocks,cores,tiles,latency_cycles,energy_pj,speedup_vs_fixed_adc,energy_efficiency_vs_fixed_adc,avg_core_latency_cycles,bottleneck_core_cycles,movement_cycles,utilization,rearrange_vectors,column_swaps,row_swaps,split_mvmus
resnet50_stem_7x7,puma_fixed_adc,12544,49,13,4,111641568.0,34279595929.599995,1.0,1.0,8196.0,8196.0,672.0,1.0,0,0,0,0
resnet50_s2_b1_conv1_1x1,puma_fixed_adc,3136,1,1,1,25802976.0,174843289.59999996,1.0,1.0,8196.0,8196.0,0.0,1.0,0,0,0,0
resnet50_s2_b1_conv2_3x3,puma_fixed_adc,3136,9,3,1,26053856.0,1573940838.3999996,1.0,1.0,8196.0,8196.0,80.0,1.0,0,0,0,0
resnet50_s2_b1_conv3_1x1,puma_fixed_adc,3136,4,1,1,25802976.0,699373158.3999999,1.0,1.0,8196.0,8196.0,0.0,1.0,0,0,0,0
resnet50_s2_b1_projection_1x1,puma_fixed_adc,3136,4,1,1,25802976.0,699373158.3999999,1.0,1.0,8196.0,8196.0,0.0,1.0,0,0,0,0
resnet50_s2_b2_conv1_1x1,puma_fixed_adc,3136,4,1,1,25802976.0,699373158.3999999,1.0,1.0,8196.0,8196.0,0.0,1.0,0,0,0,0
resnet50_s2_b2_conv2_3x3,puma_fixed_adc,3136,9,3,1,26053856.0,1573940838.3999996,1.0,1.0,8196.0,8196.0,80.0,1.0,0,0,0,0
resnet50_s2_b2_conv3_1x1,puma_fixed_adc,3136,4,1,1,25802976.0,699373158.3999999,1.0,1.0,8196.0,8196.0,0.0,1.0,0,0,0,0
resnet50_s2_b3_conv1_1x1,puma_fixed_adc,3136,4,1,1,25802976.0,699373158.3999999,1.0,1.0,8196.0,8196.0,0.0,1.0,0,0,0,0
resnet50_s2_b3_conv2_3x3,puma_fixed_adc,3136,9,3,1,26053856.0,1573940838.3999996,1.0,1.0,8196.0,8196.0,80.0,1.0,0,0,0,0
resnet50_s2_b3_conv3_1x1,puma_fixed_adc,3136,4,1,1,25802976.0,699373158.3999999,1.0,1.0,8196.0,8196.0,0.0,1.0,0,0,0,0
resnet50_s3_b1_conv1_1x1,puma_fixed_adc,3136,8,2,1,25928416.0,1398921932.7999997,1.0,1.0,8196.0,8196.0,40.0,1.0,0,0,0,0
resnet50_s3_b1_conv2_3x3,puma_fixed_adc,784,36,9,3,6801952.0,1574019238.3999996,1.0,1.0,8196.0,8196.0,448.0,1.0,0,0,0,0
resnet50_s3_b1_conv3_1x1,puma_fixed_adc,784,16,4,1,6544800.0,699504870.3999999,1.0,1.0,8196.0,8196.0,120.0,1.0,0,0,0,0
resnet50_s3_b1_projection_1x1,puma_fixed_adc,784,32,8,2,6720416.0,1399092844.7999997,1.0,1.0,8196.0,8196.0,344.0,1.0,0,0,0,0
resnet50_s3_b2_conv1_1x1,puma_fixed_adc,784,16,4,1,6544800.0,699504870.3999999,1.0,1.0,8196.0,8196.0,120.0,1.0,0,0,0,0
resnet50_s3_b2_conv2_3x3,puma_fixed_adc,784,36,9,3,6801952.0,1574019238.3999996,1.0,1.0,8196.0,8196.0,448.0,1.0,0,0,0,0
resnet50_s3_b2_conv3_1x1,puma_fixed_adc,784,16,4,1,6544800.0,699504870.3999999,1.0,1.0,8196.0,8196.0,120.0,1.0,0,0,0,0
resnet50_s3_b3_conv1_1x1,puma_fixed_adc,784,16,4,1,6544800.0,699504870.3999999,1.0,1.0,8196.0,8196.0,120.0,1.0,0,0,0,0
resnet50_s3_b3_conv2_3x3,puma_fixed_adc,784,36,9,3,6801952.0,1574019238.3999996,1.0,1.0,8196.0,8196.0,448.0,1.0,0,0,0,0
resnet50_s3_b3_conv3_1x1,puma_fixed_adc,784,16,4,1,6544800.0,699504870.3999999,1.0,1.0,8196.0,8196.0,120.0,1.0,0,0,0,0
resnet50_s3_b4_conv1_1x1,puma_fixed_adc,784,16,4,1,6544800.0,699504870.3999999,1.0,1.0,8196.0,8196.0,120.0,1.0,0,0,0,0
