layer,variant,op,start_cycle,end_cycle,core_id,tile_id,detail
conv3x3_128_balanced70,puma_fixed_adc,MVM,0.0,8196.0,0,0,4 mapped MVMU block(s)
conv3x3_128_balanced70,puma_fixed_adc,MVM,0.0,8196.0,1,0,4 mapped MVMU block(s)
conv3x3_128_balanced70,puma_fixed_adc,MVM,0.0,8196.0,2,0,4 mapped MVMU block(s)
conv3x3_128_balanced70,puma_fixed_adc,MVM,0.0,8196.0,3,0,4 mapped MVMU block(s)
conv3x3_128_balanced70,puma_fixed_adc,MVM,0.0,8196.0,4,1,4 mapped MVMU block(s)
conv3x3_128_balanced70,puma_fixed_adc,MVM,0.0,8196.0,5,1,4 mapped MVMU block(s)
conv3x3_128_balanced70,puma_fixed_adc,MVM,0.0,8196.0,6,1,4 mapped MVMU block(s)
conv3x3_128_balanced70,puma_fixed_adc,MVM,0.0,8196.0,7,1,4 mapped MVMU block(s)
conv3x3_128_balanced70,puma_fixed_adc,MVM,0.0,8196.0,8,2,4 mapped MVMU block(s)
conv3x3_128_balanced70,puma_fixed_adc,CHAIN_REDUCE,8196.0,8644.0,,,"9 core(s), 3 tile(s)"
conv3x3_128_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,0,0,4 mapped MVMU block(s)
conv3x3_128_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,1,0,4 mapped MVMU block(s)
conv3x3_128_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,2,0,4 mapped MVMU block(s)
conv3x3_128_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,3,0,4 mapped MVMU block(s)
conv3x3_128_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,4,1,4 mapped MVMU block(s)
conv3x3_128_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,5,1,4 mapped MVMU block(s)
conv3x3_128_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,6,1,4 mapped MVMU block(s)
conv3x3_128_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,7,1,4 mapped MVMU block(s)
conv3x3_128_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,8,2,4 mapped MVMU block(s)
conv3x3_128_unbalanced,puma_fixed_adc,CHAIN_REDUCE,8196.0,8644.0,,,"9 core(s), 3 tile(s)"
conv3x3_256_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,0,0,4 mapped MVMU block(s)
conv3x3_256_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,1,0,4 mapped MVMU block(s)
conv3x3_256_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,2,0,4 mapped MVMU block(s)
conv3x3_256_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,3,0,4 mapped MVMU block(s)
conv3x3_256_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,4,1,4 mapped MVMU block(s)
conv3x3_256_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,5,1,4 mapped MVMU block(s)
conv3x3_256_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,6,1,4 mapped MVMU block(s)
conv3x3_256_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,7,1,4 mapped MVMU block(s)
conv3x3_256_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,8,2,4 mapped MVMU block(s)
conv3x3_256_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,9,2,4 mapped MVMU block(s)
conv3x3_256_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,10,2,4 mapped MVMU block(s)
conv3x3_256_unbalanced,puma_fixed_adc,MVM,0.0,8196.0,11,2,4 mapped MVMU block(s)
