layer,variant,windows,blocks,cores,tiles,latency_cycles,energy_pj,speedup_vs_fixed_adc,energy_efficiency_vs_fixed_adc,avg_core_latency_cycles,bottleneck_core_cycles,movement_cycles,utilization,rearrange_vectors,column_swaps,row_swaps,split_mvmus
conv3x3_128_balanced70,puma_fixed_adc,9,36,9,3,78052.0,18069098.399999995,1.0,1.0,8196.0,8196.0,448.0,1.0,0,0,0,0
conv3x3_128_unbalanced,puma_fixed_adc,9,36,9,3,78052.0,18069098.399999995,1.0,1.0,8196.0,8196.0,448.0,1.0,0,0,0,0
conv3x3_512_unbalanced,puma_fixed_adc,36,576,144,36,582736.0,1156457937.5999997,1.0,1.0,8196.0,8196.0,7960.0,1.0,0,0,0,0
conv3x3_128_balanced70,sparse_puma,9,36,9,3,64048.0,3607012.8000000003,1.2186485136147889,5.009435619413381,6628.0,6740.0,348.0,0.9833827893175074,0,0,0,0
conv3x3_128_unbalanced,sparse_puma,9,36,9,3,73156.0,3480818.4000000004,1.0669254743288314,5.191048863681022,7124.0,7652.0,448.0,0.9309984317825405,0,0,0,0
conv3x3_512_unbalanced,sparse_puma,36,576,144,36,556816.0,211216248.0,1.0465503864831471,5.475231894091783,6952.777777777777,7540.0,7896.0,0.9221190686707929,0,0,0,0
conv3x3_128_balanced70,col_exchange,9,36,9,3,64048.0,3607012.8000000003,1.2186485136147889,5.009435619413381,6628.0,6740.0,348.0,0.9833827893175074,0,0,0,0
conv3x3_128_unbalanced,col_exchange,9,36,9,3,74668.0,3485030.4000000004,1.0453206192746558,5.184774973555466,6850.222222222223,7508.0,448.0,0.9123897472325816,26,119,0,0
conv3x3_512_unbalanced,col_exchange,36,576,144,36,1154992.0,212129928.0,0.5045368279607132,5.451649130810056,6155.777777777777,7188.0,7944.0,0.8563964632412044,1410,2869,0,0
conv3x3_128_balanced70,row_exchange,9,36,9,3,64048.0,3607012.8000000003,1.2186485136147889,5.009435619413381,6628.0,6740.0,348.0,0.9833827893175074,0,0,0,0
conv3x3_128_unbalanced,row_exchange,9,36,9,3,74020.0,3499495.2,1.0544717643880033,5.163344244621337,7074.222222222223,7652.0,448.0,0.9244932334320729,8,0,13,0
conv3x3_512_unbalanced,row_exchange,36,576,144,36,556816.0,211216248.0,1.0465503864831471,5.475231894091783,6952.777777777777,7540.0,7896.0,0.9221190686707929,0,0,0,0
conv3x3_128_balanced70,split_mvmu,9,43,11,3,64336.0,3609154.8000000003,1.2131932355135537,5.0064625656954345,6572.727272727273,6596.0,496.0,0.9964716908319091,0,0,0,7
conv3x3_128_unbalanced,split_mvmu,9,43,11,3,69664.0,3482960.4000000004,1.1204065227377125,5.187856399400921,6559.636363636364,7156.0,528.0,0.9166624320341481,0,0,0,7
conv3x3_512_unbalanced,split_mvmu,36,691,173,44,614560.0,211363632.0,0.9482166102577454,5.471414011280804,6503.976878612717,7060.0,9520.0,0.9212431839394783,0,0,0,115
conv3x3_128_balanced70,load_balance_all,9,43,11,3,64336.0,3609154.8000000003,1.2131932355135537,5.0064625656954345,6572.727272727273,6596.0,496.0,0.9964716908319091,0,0,0,7
conv3x3_128_unbalanced,load_balance_all,9,43,11,3,73336.0,3507634.8000000003,1.064306752481728,5.151362507864272,6664.363636363636,7108.0,480.0,0.937586330383179,42,119,13,7
conv3x3_512_unbalanced,load_balance_all,36,691,173,44,1216768.0,212277312.0,0.4789212076583211,5.447864054355463,5854.358381502891,6788.0,9600.0,0.8624570391135666,1410,2869,0,115
conv3x3_128_balanced70,data_movement,9,36,9,3,61615.2,3607912.8000000003,1.2667653436165103,5.008186007156269,6628.0,6740.0,104.0,0.9833827893175074,0,0,0,0
conv3x3_128_unbalanced,data_movement,9,36,9,3,68923.2,3482168.4000000004,1.1324488706270168,5.189036348730289,7124.0,7652.0,4.0,0.9309984317825405,0,0,0,0
conv3x3_512_unbalanced,data_movement,36,576,144,36,282612.0,211387248.0,2.0619648139498676,5.47080274965309,6952.777777777777,7540.0,308.0,0.9221190686707929,0,0,0,0
conv3x3_128_balanced70,samba_full,9,36,9,3,61615.2,3607912.8000000003,1.2667653436165103,5.008186007156269,6628.0,6740.0,104.0,0.9833827893175074,0,0,0,0
conv3x3_128_unbalanced,samba_full,9,36,9,3,68923.2,3482168.4000000004,1.1324488706270168,5.189036348730289,7124.0,7652.0,4.0,0.9309984317825405,0,0,0,0
conv3x3_512_unbalanced,samba_full,36,576,144,36,282612.0,211387248.0,2.0619648139498676,5.47080274965309,6952.777777777777,7540.0,308.0,0.9221190686707929,0,0,0,0
