layer,variant,op,start_cycle,end_cycle,core_id,tile_id,detail
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,0,0,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,1,0,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,2,1,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,3,1,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,4,2,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,5,2,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,6,3,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,7,3,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,8,4,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,9,4,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,10,5,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,11,5,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,12,6,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,13,6,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,14,7,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,15,7,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,16,8,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,MVM,0.0,772.0,17,8,2 mapped MVMU block(s)
tiny_conv,puma_fixed_adc,CHAIN_REDUCE,772.0,1964.0,,,"18 core(s), 9 tile(s)"
tiny_conv,sparse_puma,MVM,0.0,732.0,0,0,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,708.0,1,0,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,660.0,2,1,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,652.0,3,1,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,676.0,4,2,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,572.0,5,2,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,548.0,6,3,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,476.0,7,3,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,476.0,8,4,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,572.0,9,4,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,668.0,10,5,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,676.0,11,5,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,612.0,12,6,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,700.0,13,6,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,676.0,14,7,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,644.0,15,7,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,604.0,16,8,2 mapped MVMU block(s)
tiny_conv,sparse_puma,MVM,0.0,564.0,17,8,2 mapped MVMU block(s)
tiny_conv,sparse_puma,CHAIN_REDUCE,732.0,1924.0,,,"18 core(s), 9 tile(s)"
tiny_conv,samba,MVM,0.0,732.0,0,0,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,708.0,1,0,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,660.0,2,1,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,652.0,3,1,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,676.0,4,2,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,572.0,5,2,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,548.0,6,3,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,476.0,7,3,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,476.0,8,4,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,572.0,9,4,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,668.0,10,5,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,676.0,11,5,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,612.0,12,6,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,700.0,13,6,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,676.0,14,7,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,644.0,15,7,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,604.0,16,8,2 mapped MVMU block(s)
tiny_conv,samba,MVM,0.0,564.0,17,8,2 mapped MVMU block(s)
tiny_conv,samba,TREE_REDUCE,732.0,988.0,,,"18 core(s), 9 tile(s)"
